"id","badestellen_id","date","sicht","eco","ente","temp","algen","cb","sicht_txt","eco_txt","ente_txt","temp_txt","algen_txt","cb_txt","bsl","state","wasserqualitaet","wasserqualitaet_txt"
343,344351,"2018-08-22",150,30,15,24.3,0,2300,">150","30","15","24,3","","2300","B329","gruen",1,1
344,344355,"2018-08-23",200,15,15,23.4,0,300,"200","<15","<15","23,4","","<300","B950","gruen",1,1
345,344358,"2018-08-22",60,61,15,23.7,,2300,"60","61","15","23,7","A","2300","B331","gruen_a",1,1
346,344341,"2018-08-21",70,77,15,24,0,24000,"70","77","<15","24","","24000","B302","gelb",3,3
347,344356,"2018-08-23",150,15,15,23.7,0,300,"150","<15","<15","23,7","","<300","B955","gruen",1,1
348,344363,"2018-08-23",100,15,15,22.6,0,360,"100","15","<15","22,6","","360","B936","gruen",1,1
349,344337,"2018-08-24",80,30,15,23.5,0,2300,"80","30","<15","23,5","","2300","B304","gruen",1,1
350,344345,"2018-08-24",100,161,15,22.7,0,360,"100","161","<15","22,7","","360","B312","gruen",1,1
351,344349,"2018-08-24",110,46,15,23.3,0,300,"110","46","<15","23,3","","<300","B313","gruen",1,1
352,344360,"2018-08-28",180,15,15,21,0,300,"180","<15","<15","21","","<300","B334","gruen",1,1
353,344350,"2018-08-28",100,15,15,21.6,0,2300,"100","<15","<15","21,6","","2300","B332","gruen",1,1
354,344362,"2018-08-28",180,15,15,21.3,0,2300,"180","<15","<15","21,3","","2300","B333","gruen",1,1
355,344359,"2018-08-28",70,15,15,21.1,0,2300,"70","15","15","21,1","","2300","B330","gruen",1,1
356,344335,"2018-08-29",100,15,15,20.6,0,300,"100","<15","<15","20,6","","<300","B925","gruen",1,1
357,344351,"2018-08-28",60,15,15,21.5,0,24000,"60","<15","<15","21,5","","24000","B329","gelb",3,3
358,344358,"2018-08-28",100,15,15,21.1,0,360,"100","<15","15","21,1","","360","B331","gruen",1,1
359,347246,"2018-08-30",220,15,30,19.9,0,300,"220","<15","30","19,9","","<300","B911","gruen",1,1
360,344357,"2018-08-28",150,15,15,21.2,0,2300,"150","<15","<15","21,2","","2300","B336","gruen",1,1
361,344341,"2018-08-29",120,15,15,21,0,4300,"120","<15","<15","21","","4300","B302","gruen",1,1
